asset_id,id1,latitude,longitude
SF00204,177,-37.88805,144.6248
SF00205,178,-37.88804,144.62483
SF00206,179,-37.88801,144.62487
SF00207,180,-37.88822,144.62482
SF00208,181,-37.88811,144.62441
SF00209,182,-37.88809,144.62424
SF00210,183,-37.88826,144.62403
SF00211,184,-37.88834,144.6239
SF00212,185,-37.88845,144.62388
SF00213,186,-37.8882,144.62392
SF00214,187,-37.88848,144.62399
SF00215,188,-37.88859,144.62398
SF00216,189,-37.88873,144.62395
SF00217,190,-37.88891,144.62392
SF00218,191,-37.88856,144.62386
SF00219,192,-37.88873,144.62384
SF00221,193,-37.88743,144.62504
SF00222,194,-37.88752,144.62495
SF00223,195,-37.88758,144.62501
SF00224,196,-37.88769,144.625
SF00225,197,-37.88767,144.62493
SF00226,198,-37.88779,144.625
SF00227,199,-37.88781,144.62499
SF00228,200,-37.8879,144.62498
SF00230,201,-37.88884,144.62472
SF00231,202,-37.88889,144.62471
SF00232,203,-37.88872,144.62485
SF00233,204,-37.88922,144.62477
SF00234,205,-37.88925,144.62477
SF00235,206,-37.88929,144.62479
SF00236,207,-37.88919,144.62308
SF00237,208,-37.88917,144.62315
SF00238,209,-37.8892,144.62322
SF00239,210,-37.8892,144.62335
SF00240,211,-37.88925,144.62341
SF00241,212,-37.88927,144.62352
SF00242,213,-37.88931,144.62379
SF00243,214,-37.88941,144.62405
SF00244,215,-37.88944,144.62419
SF00245,216,-37.88951,144.62423
SF00246,217,-37.88947,144.62435
SF00247,218,-37.88956,144.62449
SF00248,219,-37.88976,144.62494
SF00249,220,-37.88967,144.62508
SF00251,221,-37.88962,144.62562
SF00252,222,-37.88958,144.62563
SF00253,223,-37.88948,144.62552
SF00254,224,-37.88923,144.62572
SF00255,225,-37.88877,144.62632
SF00256,226,-37.88882,144.62636
SF00257,227,-37.88899,144.6265
SF00258,228,-37.88902,144.62653
SF00259,229,-37.88906,144.6266
SF00261,231,-37.88893,144.62649
SF00264,232,-37.88952,144.62696
SF00265,233,-37.88948,144.62692
SF00266,234,-37.8896,144.62702
SF00267,235,-37.88987,144.62727
SF00268,236,-37.89003,144.62736
SF00269,237,-37.88992,144.62746
SF00270,238,-37.8899,144.6275
SF00271,239,-37.88988,144.62757
SF00272,240,-37.88984,144.62766
SF00273,241,-37.88988,144.62793
SF00274,242,-37.89124,144.62817
SF00275,243,-37.89124,144.62824
SF00276,244,-37.89135,144.62853
SF00277,245,-37.89097,144.62793
SF00278,246,-37.89088,144.62778
SF00279,247,-37.89087,144.62742
SF00280,248,-37.89081,144.62737
SF00281,249,-37.89073,144.62723
SF00282,250,-37.89076,144.62754
SF00283,251,-37.89059,144.62683
SF00284,252,-37.89051,144.62675
SF00285,253,-37.89042,144.6265
SF00287,254,-37.89013,144.62624
SF00288,255,-37.89016,144.6263
SF00289,256,-37.89038,144.62641
SF00290,257,-37.89034,144.62637
SF00291,258,-37.8903,144.62627
SF00292,259,-37.89029,144.62624
SF00293,260,-37.8902,144.62604
SF00294,261,-37.89012,144.62588
SF00295,262,-37.89011,144.62584
SF00296,263,-37.89008,144.62576
SF00297,264,-37.89123,144.62912
SF00298,265,-37.89119,144.62909
SF00299,266,-37.89112,144.62904
SF00300,267,-37.89089,144.6289
SF00301,268,-37.89062,144.62873
SF00302,269,-37.89077,144.62881
SF00303,270,-37.89051,144.62864
SF00304,271,-37.89046,144.62862
SF00305,272,-37.89033,144.62855
SF00306,273,-37.89017,144.62843
SF00309,274,-37.88949,144.62773
SF00310,275,-37.88926,144.62759
SF00311,276,-37.88878,144.62729
SF00312,277,-37.88884,144.62732
SF00314,278,-37.88831,144.62724
SF00315,279,-37.88828,144.62726
SF00316,280,-37.88842,144.6273
SF00317,281,-37.88814,144.62714
SF00318,282,-37.88809,144.6271
SF00319,283,-37.88787,144.62696
SF00320,284,-37.88782,144.6269
SF00321,285,-37.88769,144.62683
SF00322,286,-37.8875,144.62646
SF00323,287,-37.88735,144.62636
SF00324,288,-37.88733,144.62636
SF00325,289,-37.88736,144.62638
SF00326,290,-37.88735,144.62661
SF00327,291,-37.88733,144.62596
SF00328,292,-37.88752,144.62598
SF00329,293,-37.8876,144.62597
SF00330,294,-37.88764,144.62596
SF00331,295,-37.88779,144.62591
SF00332,296,-37.88783,144.62591
SF00333,297,-37.88787,144.62591
SF00334,298,-37.88792,144.62591
SF00335,299,-37.88838,144.62599
SF00336,300,-37.8886,144.62617
SF00337,301,-37.88854,144.62613
SF00338,302,-37.88658,144.62588
SF00339,303,-37.88682,144.62602
SF00340,304,-37.88634,144.62572
SF00341,305,-37.88468,144.62222
SF00342,306,-37.88476,144.6223
SF00343,307,-37.8849,144.62244
SF00344,308,-37.88484,144.62249
SF00345,309,-37.88493,144.6226
SF00346,310,-37.88509,144.62268
SF00347,311,-37.88515,144.62282
SF00348,312,-37.88538,144.62301
SF00349,313,-37.88548,144.62311
SF00350,314,-37.88554,144.62317
SF00351,315,-37.88563,144.62328
SF00352,316,-37.88565,144.62316
SF00353,317,-37.88553,144.62303
SF00354,318,-37.88539,144.6229
SF00355,319,-37.88582,144.62379
SF00356,320,-37.88571,144.62397
SF00357,321,-37.88599,144.6237
SF00358,322,-37.88591,144.62381
SF00359,323,-37.88585,144.62391
SF00360,324,-37.88578,144.62403
SF00361,325,-37.88614,144.62346
SF00362,326,-37.8861,144.62352
SF00363,327,-37.88606,144.62358
SF00364,328,-37.88612,144.62333
SF00365,329,-37.88577,144.62329
SF00366,330,-37.88589,144.6234
SF00367,331,-37.88591,144.62341
SF00368,332,-37.88548,144.62435
SF00369,333,-37.88557,144.62442
SF00370,334,-37.8854,144.62427
SF00371,335,-37.88532,144.62419
SF00372,336,-37.88543,144.62417
SF00373,337,-37.88532,144.62407
SF00374,338,-37.88516,144.62382
SF00375,339,-37.88524,144.62393
SF00376,340,-37.88523,144.62407
SF00377,341,-37.88502,144.62367
SF00378,342,-37.88492,144.62358
SF00379,343,-37.88479,144.62346
SF00380,344,-37.88474,144.62333
SF00381,345,-37.88473,144.62319
SF00382,346,-37.88466,144.62331
SF00383,347,-37.88465,144.6235
SF00384,348,-37.88478,144.62358
SF00385,349,-37.88494,144.62372
SF00386,350,-37.88503,144.62381
SF00387,351,-37.8857,144.62443
SF00388,352,-37.88585,144.62449
SF00389,353,-37.88595,144.62456
SF00390,354,-37.88569,144.62456
SF00391,355,-37.88574,144.62457
SF00392,356,-37.88577,144.62455
SF00393,357,-37.8859,144.62464
SF00394,358,-37.88597,144.6247
SF00395,359,-37.88606,144.62478
SF00396,360,-37.88614,144.62485
SF00397,361,-37.88623,144.62482
SF00398,362,-37.88631,144.62424
SF00399,363,-37.88634,144.62419
SF00400,364,-37.88619,144.62324
SF00401,365,-37.88626,144.62311
SF00402,366,-37.8864,144.62355
SF00403,367,-37.8863,144.62335
SF00404,368,-37.88639,144.62289
SF00405,369,-37.88661,144.62288
SF00406,370,-37.88635,144.62268
SF00407,371,-37.88612,144.62251
SF00408,372,-37.8861,144.62222
SF00409,373,-37.88616,144.62211
SF00410,374,-37.88618,144.62227
SF00411,375,-37.88622,144.62245
SF00412,376,-37.88639,144.62257
SF00413,377,-37.88652,144.62266
SF00414,378,-37.8867,144.6227
SF00415,379,-37.88671,144.62294
SF00416,380,-37.88687,144.62318
SF00417,381,-37.88676,144.62338
SF00418,382,-37.88684,144.6229
SF00419,383,-37.88681,144.62268
SF00420,384,-37.88686,144.62255
SF00421,385,-37.88679,144.62245
SF00422,386,-37.88687,144.62194
SF00423,387,-37.8869,144.62214
SF00424,388,-37.88683,144.62233
SF00425,389,-37.88692,144.6224
SF00426,390,-37.88698,144.62221
SF00427,391,-37.88717,144.62205
SF00428,392,-37.88696,144.623
SF00429,393,-37.887,144.62314
SF00430,394,-37.88718,144.62329
SF00431,395,-37.88726,144.62325
SF00432,396,-37.88728,144.62343
SF00433,397,-37.8873,144.6236
SF00434,398,-37.88732,144.62383
SF00435,399,-37.8872,144.62353
SF00436,400,-37.88722,144.62376
SF00437,401,-37.88725,144.62396
SF00438,402,-37.88735,144.62403
SF00439,403,-37.88712,144.6231
SF00440,404,-37.88713,144.62412
SF00441,405,-37.88701,144.62414
SF00442,406,-37.88728,144.62431
SF00443,407,-37.88717,144.62423
SF00444,408,-37.88736,144.62419
SF00445,409,-37.88738,144.62438
SF00446,410,-37.8874,144.62452
SF00447,411,-37.88741,144.6247
SF00448,412,-37.88743,144.62484
SF00449,413,-37.88734,144.62485
SF00450,414,-37.88732,144.62466
SF00451,415,-37.88731,144.62453
SF00452,416,-37.8873,144.6244
SF00453,417,-37.88731,144.62509
SF00454,418,-37.88721,144.62511
SF00455,419,-37.88699,144.62515
SF00456,420,-37.88697,144.62504
SF00457,421,-37.8866,144.62523
SF00458,422,-37.88648,144.62531
SF00459,423,-37.88648,144.62516
SF00460,424,-37.88684,144.62517
SF00461,425,-37.88673,144.62509
SF00462,426,-37.88741,144.62303
SF00463,427,-37.88734,144.623
SF00464,428,-37.8873,144.62192
SF00465,429,-37.88721,144.62191
SF00466,430,-37.88703,144.62187
SF00467,431,-37.88696,144.62183
SF00468,432,-37.88686,144.62177
SF00469,433,-37.88677,144.6217
SF00470,434,-37.88672,144.62164
SF00471,435,-37.88663,144.62155
SF00472,436,-37.88673,144.62184
SF00473,437,-37.88666,144.62178
SF00474,438,-37.88645,144.6215
SF00475,439,-37.8864,144.62142
SF00476,440,-37.88635,144.62129
SF00477,441,-37.88631,144.62118
SF00478,442,-37.88628,144.62103
SF00479,443,-37.88652,144.62138
SF00480,444,-37.88644,144.62119
SF00481,445,-37.88625,144.62092
SF00482,446,-37.88624,144.62082
SF00483,447,-37.88638,144.62096
SF00484,448,-37.88637,144.6209
SF00485,449,-37.88634,144.62079
SF00486,450,-37.88633,144.62051
SF00487,451,-37.88641,144.62047
SF00488,452,-37.8865,144.62058
SF00489,453,-37.88657,144.62035
SF00490,454,-37.88663,144.62027
SF00491,455,-37.8867,144.6202
SF00492,456,-37.88677,144.62012
SF00493,457,-37.88684,144.62004
SF00494,458,-37.8869,144.61997
SF00495,459,-37.887,144.62004
SF00496,460,-37.88688,144.62015
SF00497,461,-37.88691,144.62035
SF00498,462,-37.88695,144.62041
SF00499,463,-37.88704,144.62058
SF00500,464,-37.88692,144.62059
SF00501,465,-37.88689,144.62053
SF00502,466,-37.88684,144.62043
SF00503,467,-37.88708,144.6209
SF00504,468,-37.8872,144.62118
SF00505,469,-37.88731,144.62125
SF00506,470,-37.88735,144.62133
SF00507,471,-37.88742,144.6213
SF00508,472,-37.88733,144.62105
SF00509,473,-37.88722,144.62092
SF00510,474,-37.88716,144.62082
SF00511,475,-37.88599,144.62058
SF00512,476,-37.8859,144.6206
SF00513,477,-37.88581,144.62061
SF00514,478,-37.88576,144.62078
SF00515,479,-37.88519,144.62088
SF00516,480,-37.88528,144.62096
SF00517,481,-37.88535,144.62084
SF00518,482,-37.88513,144.62122
SF00519,483,-37.88496,144.62147
SF00520,484,-37.88486,144.62145
SF00521,485,-37.8849,144.62113
SF00522,486,-37.88507,144.62107
SF00523,487,-37.88468,144.62174
SF00524,488,-37.88463,144.62183
SF00525,489,-37.88453,144.62199
SF00526,490,-37.88466,144.62198
SF00527,491,-37.88462,144.62211
SF00528,492,-37.88462,144.6221
SF00529,493,-37.88476,144.6218
SF00530,494,-37.88435,144.6223
SF00531,495,-37.8848,144.62103
SF00532,496,-37.88467,144.62091
SF00533,497,-37.88473,144.62108
SF00534,498,-37.88459,144.62096
SF00535,499,-37.88456,144.62084
SF00536,500,-37.88448,144.62083
SF00537,501,-37.88444,144.62092
